Writing Image
Write-Pointer 2112160
Write-Pointer 2112192
Write-Pointer 2112224
Write-Pointer 2112256
Write-Pointer 2112288
Write-Pointer 2112320
Write-Pointer 2112352
Write-Pointer 2112384
Write-Pointer 2112416
Write-Pointer 2112448
Write-Pointer 2112480
Write-Pointer 2112512
Write-Pointer 2112544
Write-Pointer 2112576
Write-Pointer 2112608
Write-Pointer 2112640
Write-Pointer 2112672
Write-Pointer 2112704
Write-Pointer 2112736
Write-Pointer 2112768
Write-Pointer 2112800
Write-Pointer 2112832
Write-Pointer 2112864
Write-Pointer 2112896
Write-Pointer 2112928
Write-Pointer 2112960
Write-Pointer 2112992
Write-Pointer 2113024
Write-Pointer 2113056
Write-Pointer 2113088
Write-Pointer 2113120
Write-Pointer 2113152
Write-Pointer 2113184
Write-Pointer 2113216
Write-Pointer 2113248
Write-Pointer 2113280
Write-Pointer 2113312
Write-Pointer 2113344
Write-Pointer 2113376
Write-Pointer 2113408
Write-Pointer 2113440
Write-Pointer 2113472
Write-Pointer 2113504
Write-Pointer 2113536
Write-Pointer 2113568
Write-Pointer 2113600
Write-Pointer 2113632
Write-Pointer 2113664
Write-Pointer 2113696
Write-Pointer 2113728
Write-Pointer 2113760
Write-Pointer 2113792
Write-Pointer 2113824
Write-Pointer 2113856
Write-Pointer 2113888
Write-Pointer 2113920
Write-Pointer 2113952
Write-Pointer 2113984
Write-Pointer 2114016
Write-Pointer 2114048
Write-Pointer 2114080
Write-Pointer 2114112
Write-Pointer 2114144
Write-Pointer 2114176
Write-Pointer 2114208
Write-Pointer 2114240
Write-Pointer 2114272
Write-Pointer 2114304
Write-Pointer 2114336
Write-Pointer 2114368
Write-Pointer 2114400
Write-Pointer 2114432
Write-Pointer 2114464
Write-Pointer 2114496
Write-Pointer 2114528
Write-Pointer 2114560
Write-Pointer 2114592
Write-Pointer 2114624
Write-Pointer 2114656
Write-Pointer 2114688
Write-Pointer 2114720
Write-Pointer 2114752
Write-Pointer 2114784
Write-Pointer 2114816
Write-Pointer 2114848
Write-Pointer 2114880
Write-Pointer 2114912
Write-Pointer 2114944
Write-Pointer 2114976
Write-Pointer 2115008
Write-Pointer 2115040
Write-Pointer 2115072
Write-Pointer 2115104
Write-Pointer 2115136
Write-Pointer 2115168
Write-Pointer 2115200
Write-Pointer 2115232
Write-Pointer 2115264
Write-Pointer 2115296
Write-Pointer 2115328
Write-Pointer 2115360
Write-Pointer 2115392
Write-Pointer 2115424
Write-Pointer 2115456
Write-Pointer 2115488
Write-Pointer 2115520
Write-Pointer 2115552
Write-Pointer 2115584
Write-Pointer 2115616
Write-Pointer 2115648
Write-Pointer 2115680
Write-Pointer 2115712
Write-Pointer 2115744
Write-Pointer 2115776
Write-Pointer 2115808
Write-Pointer 2115840
Write-Pointer 2115872
Write-Pointer 2115904
Write-Pointer 2115936
Write-Pointer 2115968
Write-Pointer 2116000
Write-Pointer 2116032
Write-Pointer 2116064
Write-Pointer 2116096
Write-Pointer 2116128
Write-Pointer 2116160
Write-Pointer 2116192
Write-Pointer 2116224
Write-Pointer 2116256
Write-Pointer 2116288
Write-Pointer 2116320
Write-Pointer 2116352
Write-Pointer 2116384
Write-Pointer 2116416
Write-Pointer 2116448
Write-Pointer 2116480
Write-Pointer 2116512
Write-Pointer 2116544
Write-Pointer 2116576
Write-Pointer 2116608
Write-Pointer 2116640
Write-Pointer 2116672
Write-Pointer 2116704
Write-Pointer 2116736
Write-Pointer 2116768
Write-Pointer 2116800
Write-Pointer 2116832
Write-Pointer 2116864
Write-Pointer 2116896
Write-Pointer 2116928
Write-Pointer 2116960
Write-Pointer 2116992
Write-Pointer 2117024
Write-Pointer 2117056
Write-Pointer 2117088
Write-Pointer 2117120
Write-Pointer 2117152
Write-Pointer 2117184
Write-Pointer 2117216
